dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
AE,Adverse Events,One record per adverse event per subject,9,AEDECOD,Dictionary-Derived Term,Char,text,200,,No,SYNONYM QUALIFIER,AEDICT,Assigned,,,
AE,Adverse Events,One record per adverse event per subject,10,AEPTCD,Preferred Term Code,Num,integer,8,,No,VARIABLE QUALIFIER,,Assigned,,,
AE,Adverse Events,One record per adverse event per subject,11,AEHLT,High Level Term,Char,text,100,,No,VARIABLE QUALIFIER,AEDICT,Assigned,,,
AE,Adverse Events,One record per adverse event per subject,12,AEHLTCD,High Level Term Code,Num,integer,8,,No,VARIABLE QUALIFIER,,Assigned,,,
AE,Adverse Events,One record per adverse event per subject,13,AEHLGT,High Level Group Term,Char,text,100,,No,VARIABLE QUALIFIER,AEDICT,Assigned,,,
AE,Adverse Events,One record per adverse event per subject,14,AEHLGTCD,High Level Group Term Code,Num,integer,8,,No,VARIABLE QUALIFIER,,Assigned,,,
AE,Adverse Events,One record per adverse event per subject,15,AEBODSYS,Body System or Organ Class,Char,text,67,,No,VARIABLE QUALIFIER,AEDICT,Assigned,,,
AE,Adverse Events,One record per adverse event per subject,16,AEBDSYCD,Body System or Organ Class Code,Num,integer,8,,No,VARIABLE QUALIFIER,,Assigned,,,
AE,Adverse Events,One record per adverse event per subject,17,AESOC,Primary System Organ Class,Char,text,100,,No,VARIABLE QUALIFIER,AEDICT,Assigned,,,
AE,Adverse Events,One record per adverse event per subject,18,AESOCCD,Primary System Organ Class Code,Num,integer,8,,No,VARIABLE QUALIFIER,,Assigned,,,
AE,Adverse Events,One record per adverse event per subject,19,AESEV,Severity/Intensity,Char,text,8,,No,VARIABLE QUALIFIER,SEV,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,20,AESER,Serious Event,Char,text,1,,No,RECORD QUALIFIER,YN,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,21,AEACN,Action Taken with Study Treatment,Char,text,30,,No,RECORD QUALIFIER,,Derived,AEACN=Null (data on action taken concerning study treatment was not collected),,
AE,Adverse Events,One record per adverse event per subject,22,AEREL,Causality,Char,text,8,,No,RECORD QUALIFIER,AECAUS,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,23,AEOUT,Outcome of Adverse Event,Char,text,200,,No,RECORD QUALIFIER,OUT,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,24,AESCAN,Involves Cancer,Char,text,1,,No,RECORD QUALIFIER,YN,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,25,AESCONG,Congenital Anomaly or Birth Defect,Char,text,1,,No,RECORD QUALIFIER,YN,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,26,AESDISAB,Persist or Signif Disability/Incapacity,Char,text,1,,No,RECORD QUALIFIER,YN,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,27,AESDTH,Results in Death,Char,text,1,,No,RECORD QUALIFIER,YN,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,28,AESHOSP,Requires or Prolongs Hospitalization,Char,text,1,,No,RECORD QUALIFIER,YN,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,29,AESLIFE,Is Life Threatening,Char,text,1,,No,RECORD QUALIFIER,YN,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,30,AESOD,Occurred with Overdose,Char,text,1,,No,RECORD QUALIFIER,YN,"CRF Page 121, 122, 123",,,
