dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",10,EXROUTE,Route of Administration,Char,text,11,,No,Variable Qualifier,ROUTE,eDT,,Perm,unchanged
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",11,VISITNUM,Visit Number,Num,float,8,,No,Timing,VISITNUM,"CRF Pages 25, 36, 42, 49, 52, 58, 67, 73, 82, 90, 99, 108, 116, 128",,Perm,kept from pilot; allowed by SDTM but not in the SDTMIG 3.4 domain table
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",12,VISIT,Visit Name,Char,text,19,,No,Timing,VISIT,"CRF Pages 25, 36, 42, 49, 52, 58, 67, 73, 82, 90, 99, 108, 116, 128",,Perm,kept from pilot; allowed by SDTM but not in the SDTMIG 3.4 domain table
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",13,VISITDY,Planned Study Day of Visit,Num,integer,8,,No,Timing,,Derived,TV.VISITDY,Perm,kept from pilot; allowed by SDTM but not in the SDTMIG 3.4 domain table
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",14,EPOCH,Epoch,Char,text,20,,No,Timing,EPOCH,,,Perm,added (Perm in SDTMIG 3.4; needed for a conformance fix)
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",15,EXSTDTC,Start Date/Time of Treatment,Char,date,10,4,No,Timing,,"CRF Pages 25, 36, 42, 49, 52, 58, 67, 73, 82, 90, 99, 108, 116, 128",,Exp,unchanged
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",16,EXENDTC,End Date/Time of Treatment,Char,date,10,,No,Timing,,"CRF Page 105, 138",,Exp,core Perm -> Exp
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",17,EXSTDY,Study Day of Start of Treatment,Num,integer,8,,No,Timing,,Derived,,Perm,unchanged
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",18,EXENDY,Study Day of End of Treatment,Num,integer,8,,No,Timing,,Derived,,Perm,unchanged
AE,Adverse Events,One record per adverse event per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,Identifier,,CRF Page 7,,Req,unchanged
AE,Adverse Events,One record per adverse event per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,Identifier,,Assigned,,Req,unchanged
AE,Adverse Events,One record per adverse event per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,Identifier,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",Req,unchanged
AE,Adverse Events,One record per adverse event per subject,4,AESEQ,Sequence Number,Num,integer,8,5,Yes,Identifier,,Derived,Sequential number identifying records within each USUBJID,Req,unchanged
AE,Adverse Events,One record per adverse event per subject,5,AESPID,Sponsor-Defined Identifier,Char,text,3,,No,Identifier,,"CRF Page 121, 122, 123",,Perm,unchanged
AE,Adverse Events,One record per adverse event per subject,6,AETERM,Reported Term for the Adverse Event,Char,text,200,3,Yes,Topic,,"CRF Page 121, 122, 123",,Req,unchanged
AE,Adverse Events,One record per adverse event per subject,7,AELLT,Lowest Level Term,Char,text,100,,No,Variable Qualifier,AEDICT,Assigned,,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,8,AELLTCD,Lowest Level Term Code,Num,integer,8,,No,Variable Qualifier,,Assigned,,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,9,AEDECOD,Dictionary-Derived Term,Char,text,200,,Yes,Synonym Qualifier,AEDICT,Assigned,,Req,unchanged
AE,Adverse Events,One record per adverse event per subject,10,AEPTCD,Preferred Term Code,Num,integer,8,,No,Variable Qualifier,,Assigned,,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,11,AEHLT,High Level Term,Char,text,100,,No,Variable Qualifier,AEDICT,Assigned,,Exp,unchanged
AE,Adverse Events,One record per adverse event per subject,12,AEHLTCD,High Level Term Code,Num,integer,8,,No,Variable Qualifier,,Assigned,,Exp,unchanged
